total loss	score loss	border loss	direc loss	ctc loss	
26.085695	0.165464	0.110097	0.050605	5.151906	
22.952601	0.167324	0.114296	0.051519	4.523892	
25.624649	0.168925	0.106826	0.047355	5.060309	
20.233930	0.165405	0.109694	0.050498	3.981667	
25.170978	0.166241	0.116969	0.051560	4.967242	
20.198763	0.163533	0.114115	0.048644	3.974494	
23.959797	0.158203	0.111640	0.047046	4.728581	
22.841954	0.163597	0.111715	0.052167	4.502895	
18.188669	0.164399	0.109960	0.048981	3.573066	
21.530679	0.168326	0.115434	0.055835	4.238217	
22.403752	0.166532	0.110517	0.050426	4.415256	
20.950066	0.163993	0.106208	0.045651	4.126843	
22.177623	0.171941	0.111280	0.052728	4.368335	
21.841094	0.167912	0.114058	0.052149	4.301395	
25.883397	0.163038	0.113755	0.051155	5.111090	
24.070369	0.166529	0.110616	0.050486	4.748547	
20.523469	0.166572	0.115246	0.052908	4.037749	
24.288317	0.160673	0.107383	0.048085	4.794435	
25.801772	0.164702	0.112845	0.049172	5.095011	
27.517899	0.159965	0.107762	0.045851	5.440864	
26.605878	0.163481	0.110706	0.050132	5.256312	
22.548790	0.163388	0.120127	0.051173	4.442821	
25.093925	0.161917	0.112354	0.051587	4.953614	
25.268646	0.164761	0.106997	0.048713	4.989635	
21.246347	0.162912	0.114156	0.049399	4.183976	
21.030759	0.163874	0.109913	0.048644	4.141666	
21.785337	0.161349	0.110802	0.051572	4.292323	
24.862443	0.163555	0.101147	0.048447	4.909859	
27.452983	0.162367	0.116443	0.051754	5.424484	
26.823343	0.157762	0.112986	0.045514	5.301416	
20.379954	0.161378	0.112688	0.049464	4.011285	
23.359206	0.161830	0.102262	0.047781	4.609467	
21.934274	0.157638	0.108973	0.047852	4.323962	
21.357153	0.157657	0.107368	0.049032	4.208619	
22.965218	0.166973	0.117602	0.049522	4.526224	
21.019889	0.158655	0.100449	0.046910	4.142775	
19.667213	0.160964	0.106066	0.046364	3.870764	
19.791197	0.160569	0.107315	0.049465	3.894770	
21.670088	0.162136	0.107219	0.049763	4.270194	
24.336509	0.164457	0.115193	0.051868	4.800998	
23.564247	0.159482	0.100587	0.044918	4.651852	
22.177399	0.159630	0.106712	0.048635	4.372484	
21.403247	0.166045	0.111855	0.050277	4.215014	
20.210171	0.165891	0.106555	0.048244	3.977896	
20.088971	0.159624	0.109897	0.048089	3.954272	
17.238578	0.156758	0.103150	0.047847	3.386165	
16.725716	0.156848	0.113040	0.048584	3.281449	
19.815246	0.159826	0.109047	0.047962	3.899682	
20.174120	0.159663	0.112294	0.050132	3.970406	
19.672852	0.154470	0.100837	0.044459	3.874617	
22.265341	0.161227	0.107341	0.050511	4.389252	
18.322749	0.155421	0.107796	0.048753	3.602156	
20.065066	0.159609	0.108086	0.047593	3.949956	
22.776974	0.153439	0.104626	0.046397	4.494502	
21.195239	0.159015	0.106478	0.050419	4.175865	
23.730842	0.158521	0.106697	0.049538	4.683217	
21.401016	0.158099	0.102928	0.048908	4.218216	
22.290569	0.158929	0.103450	0.047341	4.396170	
21.194720	0.154128	0.105817	0.047351	4.177485	
20.682893	0.156810	0.111664	0.049702	4.072943	
20.633855	0.159993	0.106566	0.049502	4.063559	
23.280595	0.155962	0.106538	0.046812	4.594257	
24.618730	0.156416	0.106551	0.045825	4.861988	
21.911356	0.153818	0.101726	0.047237	4.321715	
22.102400	0.162658	0.109631	0.050612	4.355900	
13.449725	0.158803	0.111379	0.051488	2.625611	
20.215546	0.156902	0.106477	0.051187	3.980196	
22.451398	0.155482	0.099618	0.047472	4.429765	
21.305335	0.157093	0.104766	0.050255	4.198644	
18.694673	0.156751	0.101672	0.047157	3.677819	
20.188424	0.159074	0.104156	0.046844	3.975670	
18.765131	0.157933	0.105101	0.051295	3.690160	
24.205299	0.155753	0.096581	0.043101	4.781973	
21.017879	0.154706	0.109107	0.047642	4.141285	
21.822657	0.153071	0.096482	0.046530	4.305315	
20.114000	0.154732	0.104330	0.046961	3.961595	
28.747576	0.157187	0.108922	0.047394	5.686815	
22.581056	0.156315	0.106888	0.043771	4.454816	
21.560028	0.154771	0.102758	0.047204	4.251059	
16.119508	0.156766	0.111449	0.049687	3.160321	
18.884452	0.155553	0.097015	0.041820	3.718013	
18.669433	0.155445	0.107825	0.049460	3.671341	
20.743229	0.156848	0.098035	0.045765	4.088516	
25.062411	0.159047	0.102237	0.049251	4.950375	
17.900841	0.158109	0.108931	0.047537	3.517253	
18.368817	0.156028	0.109865	0.048324	3.610920	
17.545624	0.150065	0.109902	0.049645	3.447202	
21.769900	0.158789	0.099242	0.048694	4.292635	
19.437932	0.154556	0.102824	0.043272	3.827456	
19.137957	0.152146	0.104361	0.047243	3.766841	
20.435695	0.153256	0.104290	0.045041	4.026622	
19.366741	0.156511	0.106011	0.047453	3.811353	
19.486860	0.155315	0.102794	0.046586	3.836433	
19.727154	0.153930	0.103599	0.047603	3.884404	
21.448178	0.155044	0.109833	0.045985	4.227463	
23.454978	0.156781	0.101658	0.047467	4.629814	
18.359002	0.158817	0.103792	0.045347	3.610209	
23.218197	0.156282	0.107566	0.047179	4.581434	
16.816435	0.151198	0.104728	0.045174	3.303067	
19.415306	0.152088	0.102675	0.045731	3.822962	
20.008652	0.155696	0.102673	0.048587	3.940339	
20.248424	0.152614	0.107876	0.048932	3.987801	
19.584324	0.152710	0.112229	0.049231	3.854031	
18.975074	0.153410	0.102678	0.046074	3.734582	
18.175511	0.153460	0.101977	0.045556	3.574904	
21.181820	0.155326	0.100269	0.044774	4.176290	
19.049447	0.149811	0.104814	0.045347	3.749895	
19.221744	0.148190	0.099925	0.045358	3.785654	
18.010315	0.152900	0.104671	0.044669	3.541615	
19.810433	0.152462	0.101434	0.047748	3.901758	
19.626082	0.156524	0.111458	0.047585	3.862103	
19.152112	0.152108	0.097297	0.044038	3.771734	
16.340532	0.151158	0.091998	0.044778	3.210519	
19.602075	0.151075	0.103087	0.047218	3.860139	
22.041205	0.159141	0.105452	0.047498	4.345823	
23.006623	0.152088	0.098169	0.045251	4.542223	
18.890389	0.152186	0.098249	0.045357	3.718919	
17.913148	0.149737	0.100884	0.046779	3.523150	
16.835154	0.152476	0.099553	0.046108	3.307403	
20.229283	0.151736	0.099735	0.046935	3.986175	
